ID,Site,Date_of_capture,Length_of_captivity_days,Sex,Pregnant,Mass_g,Length_cm,Age_days,Spleen_mass_g,Number_of_spleen_cells,Percent_viable_cells,Percent_CD3._T.cells,Number_of_T_cells,Percent_CD3.CD4.,Percent_CD3.CD8.,Ratio_of_CD4_to_CD8,Number_of_sorted_CD4,Number_of_sorted_CD8,Storage_method,CD4.alpha.count,CD4.beta.count,CD8.alpha.count,CD8.beta.count,CD4.alpha.unique.seq,CD4.beta.unique.seq,CD8.alpha.unique.seq,CD8.beta.unique.seq,CD4.alpha.powerlaw,CD4.beta.powerlaw,CD8.alpha.powerlaw,CD8.beta.powerlaw,CD4.alpha.simpsons,CD4.beta.simpsons,CD8.alpha.simpsons,CD8.beta.simpsons,CD4.alpha.shannons,CD4.beta.shannons,CD8.alpha.shannons,CD8.beta.shannons
N48,Nottingham,17-Jul,4,F,No,13.6,8,57,0.06,16500000,0.948251472,0.493463375,8142145.69,0.594707778,0.320377092,1.856274348,1100548,574179,Homogenised lysate,113786,92000,76128,73945,16854,18359,12380,15809,2.8577625,3.480199774,3.786460528,4.024933329,0.000194446,0.000193274,0.000180678,0.000155015,9.179909892,9.327100789,9.09125368,9.348746932
N49,Nottingham,17-Jul,4,M,NA,20.3,8.4,252,0.08,18450000,0.94823302,0.493462311,9104379.64,0.594707199,0.320377121,1.856272375,1415417,312698,Homogenised lysate,79778,62712,127600,92018,9993,10054,14211,14581,3.11029391,2.896996788,2.880962462,2.047395877,0.000227137,0.000238085,0.001296982,0.001293766,8.848306076,8.860236112,8.54568001,8.644660189
N50,Nottingham,24-Jul,1,F,No,7.03,5.7,24,0.02,4587500,0.870602415,0.391696282,1796906.7,0.415396717,0.517665251,0.802442731,139632,173933,Homogenised lysate,109418,129785,152479,175716,10197,13866,17449,21109,2.637710716,2.712053218,3.049690465,3.193358865,0.000517038,0.000374886,0.000284477,0.000289193,8.465447788,8.841147178,9.093424526,9.246950304
N51,Nottingham,24-Jul,1,F,No,7.99,6.7,36,0.02,2612500,0.947319502,0.674028556,1760899.6,0.508838062,0.449894493,1.131016428,316865,279645,Homogenised lysate,66499,66945,NA,NA,27429,32679,NA,NA,3.517237664,4.041553001,NA,NA,9.07562595655851e-05,6.2596044234817e-05,NA,NA,9.808353581,10.07138671,NA,NA
N52,Nottingham,24-Jul,1,F,No,13.6,8.4,119,0.02,2550000,0.94842068,0.856666982,2184500.8,0.437761638,0.539741439,0.811058048,306303,379240,Homogenised lysate,99531,89670,100688,91615,19602,22721,29816,33994,4.199021365,4.283389263,4.068947364,5.375760798,0.000106451,9.37458387712143e-05,7.4157823681777e-05,5.92805986843636e-05,9.449678346,9.64668528,9.869154148,10.04878002
N53,Nottingham,24-Jul,1,F,No,20.13,8.5,142,0.06,14300000,0.96769557,0.553459091,7914464.99,0.716711789,0.224877708,3.187117991,1382916,428116,Homogenised lysate,117759,117082,97209,95637,17430,22858,17067,20904,3.340581688,2.649669299,3.239394953,3.459139724,0.000166936,0.000138772,0.000543218,0.00057557,9.273747791,9.543798194,9.160726671,9.307528151
N54,Nottingham,24-Jul,2,F,No,10.83,6.7,33,0.02,1.3e+07,0.955817394,0.427348772,5555534.04,0.411900127,0.495916573,0.830583507,520548,631186,Homogenised lysate,93181,102794,142631,115407,15584,21382,27063,33260,3.579215752,3.636424127,3.615850659,4.171153126,0.000148565,0.000106363,9.37770194644704e-05,7.36214433463743e-05,9.273735966,9.556439929,9.734209221,9.952229533
N56,Nottingham,24-Jul,2,F,Yes,16.19,8.4,75,0.05,16250000,0.9706935,0.453330374,7366618.57,0.649151206,0.272664724,2.380767109,1051609,421375,Homogenised lysate,119037,99746,66881,64224,24523,27127,28790,31928,2.888956935,3.40408572,2.372693329,3.217048848,0.000199699,0.000126935,0.000571374,0.000391041,9.440808469,9.671918469,9.594451639,9.796126408
N57,Nottingham,24-Jul,2,M,NA,17.5,8.7,65,0.05,17850000,0.964099305,0.514982124,9192430.9,0.593176226,0.355121955,1.670345126,923444,782261,Homogenised lysate,94313,94980,86940,84437,21291,27785,29189,35613,3.284588982,3.154793864,3.323106015,4.126310571,0.000164797,8.7817893560168e-05,0.000104223,7.01904243840926e-05,9.434711943,9.779696013,9.833865222,10.08507121
N58,Nottingham,24-Jul,3,M,NA,11.15,7,31,0.02,3562500,0.95152131,0.52921179,1885317,0.595672689,0.357529775,1.666078549,290600,172995,Homogenised lysate,303292,300054,188406,216782,42395,53535,26395,31441,3.300703561,3.668846128,3.719019437,4.648495189,8.81319502107001e-05,7.14636434638677e-05,0.000124525,0.00011296,9.823900696,10.05227335,9.604002157,9.764497358
