,L01,L02,L03,L05,L06,L07,N02,N03,N04,N05,N07,N08,N10,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N25,N26,N28,N29,N30,N31,N32,N33,N34,N36,N37,N39,N40,N41,N43,N44,N45,N46,N48,N49,N50,N51,N52,N53,N54,N56,N57,N58,N59,N60,N61,N62,N64,N65,W01,W02,W03,W04
N52,839,555,711,510,761,408,1363,1338,1752,1462,1545,1566,527,2001,2397,2484,1436,1865,2604,1451,2281,1742,1845,2193,1160,2342,2471,2047,1904,1581,2327,1190,1009,837,2055,2369,1388,2065,2243,1387,2618,1367,1578,990,1196,1958,NA,,,,,,,,,,,,,,,
N53,1067,721,878,593,963,632,1580,1454,1899,1797,1476,1695,731,1908,2765,2778,1751,1865,2787,2200,2332,1685,1727,2092,1390,2321,2306,2185,1905,2057,2563,1718,1574,816,2098,2068,1360,1962,2523,1713,2473,1285,1510,1038,1244,2605,1670,NA,,,,,,,,,,,,,,
N54,943,577,770,546,859,505,1565,1530,2134,1894,1838,1934,596,2452,2806,2896,1702,2247,3031,1767,2709,2066,2144,2686,1405,2847,2969,2523,2320,1909,2750,1393,1264,1012,2390,2714,1753,2412,2743,1640,3087,1694,1920,1158,1480,2325,2208,1930,NA,,,,,,,,,,,,,
N56,922,582,755,594,822,446,1524,1352,1728,2406,1434,2093,677,2542,2743,2588,2446,2127,2623,3121,2652,2330,2309,2148,1781,2993,2841,2795,2432,1922,2503,1645,2162,1080,2753,1794,1878,1821,2417,2357,2481,1778,1857,1358,1191,2641,1524,1961,1865,NA,,,,,,,,,,,,
N57,1181,799,999,726,1083,630,1672,1684,2243,1844,1490,1691,815,2069,2944,3117,1739,1821,3243,2186,2342,1753,1992,2202,1444,2363,2500,2143,1923,2350,2857,1786,1538,814,2119,2355,1383,2052,2773,1722,2632,1373,1626,1047,1457,2959,1894,2018,2228,1956,NA,,,,,,,,,,,
N58,1509,975,1206,870,1388,833,2140,2031,2635,2560,1987,2244,989,2639,3869,3846,2432,2505,3951,3237,3068,2389,2477,2968,1986,3248,3106,2982,2646,2830,3558,2279,2313,1093,2839,2761,1863,2665,3528,2410,3562,1807,2105,1367,1765,3768,2241,2670,2740,2689,2807,NA,,,,,,,,,,
N59,1069,727,905,732,999,561,1829,1711,2203,2758,1622,2480,795,3009,3244,3122,2804,2458,3206,3730,3172,2677,2917,2465,2100,3451,3505,3322,2854,2286,2962,1946,2540,1270,3238,2241,2271,2225,2819,2823,2955,2094,2274,1544,1458,3163,1891,2331,2147,3022,2293,3184,NA,,,,,,,,,
N60,314,235,263,177,302,173,468,437,610,575,432,471,220,568,771,836,514,535,841,648,642,527,549,629,479,666,703,603,544,622,756,501,475,254,602,619,427,574,707,524,744,451,445,313,414,828,517,569,650,596,627,794,704,NA,,,,,,,,
N61,741,499,604,464,667,378,1354,1212,1593,1491,1591,1747,456,1935,2318,2239,1494,1937,2331,1559,2322,1784,1758,2162,1134,2412,2286,2220,1955,1512,2299,1160,1073,819,2107,2084,1366,2014,2172,1428,2608,1325,1507,1069,1079,1779,1724,1643,2016,1603,1733,2277,1806,483,NA,,,,,,,
N62,1630,1022,1264,958,1412,854,2121,2072,2763,2475,1993,2127,1005,2699,3648,3831,2308,2501,4112,2975,3007,2316,2460,2945,2019,3079,3280,2832,2512,2981,3594,2265,2082,1108,2761,2904,1966,2688,3582,2339,3395,1848,2047,1326,1853,3805,2411,2613,2848,2631,2949,3636,3229,809,2208,NA,,,,,,
N64,830,539,635,512,768,422,1189,1107,1402,1871,990,1391,653,1615,2207,2039,1991,1399,2101,2915,1726,1470,1528,1394,1365,1941,1886,1849,1580,1659,1891,1541,1995,671,1838,1215,1198,1324,1895,1903,1633,1136,1250,940,929,2410,1007,1562,1225,2179,1504,2210,2440,459,1042,1973,NA,,,,,
N65,900,543,678,523,767,440,1592,1545,2011,1869,1751,2208,591,2813,2831,2844,1917,2260,3037,1982,2953,2352,2566,2528,1397,3128,3308,2877,2586,1784,2674,1351,1390,1109,2773,2707,1921,2342,2550,1835,3005,1764,2236,1377,1335,2355,2221,1897,2511,2003,2229,2618,2488,614,1947,2726,1403,NA,,,,
W01,1444,966,1146,823,1200,898,924,940,1232,1011,733,740,500,847,1547,1646,855,879,1686,1276,982,774,817,1084,858,997,1023,947,816,1330,1515,1105,949,351,898,999,598,987,1512,880,1298,584,671,407,781,1752,886,1097,1014,1036,1239,1654,1225,319,837,1597,878,898,NA,,,
W02,1659,1126,1328,902,1418,959,1249,1234,1613,1309,1106,1098,596,1193,2000,2214,1151,1361,2267,1442,1517,1114,1183,1609,1074,1498,1494,1385,1196,1679,1938,1239,1049,508,1329,1543,877,1473,2066,1184,1878,840,995,623,1097,2063,1329,1412,1538,1275,1614,2034,1544,471,1295,2110,1072,1400,1677,NA,,
W03,927,691,805,536,776,589,627,634,811,646,573,537,299,604,1100,1174,546,669,1203,684,775,565,563,819,571,775,763,675,612,861,1035,689,534,284,648,819,436,789,1053,557,941,416,507,335,544,1051,699,768,797,634,877,1083,780,226,704,1077,494,729,985,1223,NA,
W04,1388,976,1165,783,1285,834,1385,1373,1764,1445,1296,1237,658,1431,2334,2559,1292,1536,2578,1697,1698,1268,1391,1764,1234,1719,1769,1635,1398,1812,2190,1470,1195,617,1584,1859,1030,1649,2191,1278,2141,984,1139,743,1119,2363,1547,1667,1719,1462,1806,2313,1794,489,1415,2322,1192,1613,1567,2088,1159,NA
