,L01,L02,L03,L05,L06,L07,N02,N03,N04,N05,N07,N08,N10,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N25,N26,N28,N29,N30,N31,N32,N33,N34,N36,N37,N39,N40,N41,N43,N44,N45,N46,N48,N49,N50,N51,N52,N53,N54,N56,N57,N58,N59,N60,N61,N62,N64,N65,W01,W02,W03,W04
N53,3290,2199,2831,1867,3165,2043,2237,2453,3045,2951,2522,2966,1128,3458,3560,3917,2911,3106,3965,3756,3617,3364,3743,3092,2504,4086,3462,3536,3651,2683,3412,2594,2542,1888,3294,3145,2409,2715,3279,2481,3510,2461,2757,1803,1885,4174,2795,NA,,,,,,,,,,,,,,
N54,3014,2071,2492,1758,2854,1899,2130,2457,2971,3053,2453,2845,1098,3393,3324,3754,2715,2751,3688,3585,3321,3163,3691,2995,2353,3787,3278,3376,3487,2610,3322,2476,2423,1861,3212,3060,2467,2582,3185,2398,3230,2438,2719,1761,1801,4022,2733,2694,NA,,,,,,,,,,,,,
N56,3832,2609,3242,2244,3687,2365,2190,2665,3047,3509,2815,3559,1252,3724,4140,4471,3504,3011,4107,4824,4307,3717,3848,4030,2848,4454,4224,4317,3992,3294,4035,2877,3099,1978,4059,3506,2965,3148,3911,3221,4451,2816,3049,2083,1866,4157,2779,2882,2746,NA,,,,,,,,,,,,
N57,3472,2272,2843,1976,3336,2102,2420,2812,3328,3276,2731,3152,1270,3805,3949,4474,3063,3118,4348,4129,3816,3539,4282,3322,2646,4274,3743,3857,4003,2992,3840,2830,2795,2028,3657,3618,2682,2964,3543,2676,3752,2720,3132,1915,2015,4668,3090,3143,3048,3075,NA,,,,,,,,,,,
N58,4986,3328,4244,2766,4702,2995,2606,2884,3548,3645,3327,3872,1488,4407,5169,5490,4095,3883,5341,5475,5178,4267,4490,4514,3522,5184,5664,4677,4433,4119,4652,3183,3305,2246,4365,4387,3138,3501,4392,3610,5698,3082,3289,2215,2071,4926,3253,3525,3176,4224,3645,NA,,,,,,,,,,
N59,4961,3246,4195,2821,4751,3028,2551,2893,3519,3660,3339,3794,1584,4355,4932,5573,4127,3855,5430,5437,5103,4240,4572,4360,3517,5066,5644,4595,4311,4164,4596,3106,3278,2217,4270,4369,3146,3363,4317,3643,5631,3133,3258,2126,2127,4927,3185,3490,3133,4135,3594,5613,NA,,,,,,,,,
N60,1115,817,977,714,1106,729,824,904,1106,1136,924,1071,411,1273,1273,1376,1068,1076,1334,1361,1300,1218,1373,1151,900,1444,1214,1263,1280,987,1243,952,984,726,1172,1134,894,1009,1205,902,1230,950,1029,695,694,1464,1012,1107,1047,1067,1137,1184,1202,NA,,,,,,,,
N61,2769,1884,2379,1641,2687,1740,1981,2220,2550,2846,2261,2939,962,2980,3201,3472,2601,2568,3141,3582,3255,3076,3186,3031,2144,3726,3018,3540,3466,2475,3197,2468,2514,1699,3379,2799,2429,2716,3037,2419,3185,2220,2526,1753,1575,3400,2330,2414,2330,2786,2667,3033,2978,913,NA,,,,,,,
N62,4700,3118,3914,2694,4451,2803,2787,3210,3831,3970,3382,3953,1554,4631,4968,5548,4012,3863,5356,5518,4980,4386,4809,4479,3481,5263,5185,4854,4750,4075,4802,3411,3509,2398,4529,4471,3315,3669,4501,3595,5235,3264,3595,2349,2294,5300,3520,3651,3471,4180,3924,5146,5239,1251,3189,NA,,,,,,
N64,3276,2235,2814,1946,3187,2000,1983,2246,2634,2943,2512,3106,1102,3282,3568,3820,3106,2676,3530,4226,3782,3209,3259,3438,2483,3793,3673,3758,3462,2873,3502,2562,2661,1725,3463,3058,2512,2707,3396,2832,3873,2390,2602,1786,1645,3585,2375,2528,2402,3297,2645,3619,3650,923,2454,3585,NA,,,,,
N65,3993,2612,3291,2216,3890,2487,2492,2880,3543,3511,2940,3373,1346,4102,4247,4862,3382,3378,4693,4648,4334,3753,4466,3756,2944,4562,4400,4170,4157,3489,4269,2985,2916,2100,3736,3941,2854,3083,3989,3022,4439,2914,3270,1983,2082,4796,3254,3278,3071,3488,3617,4245,4292,1153,2732,4371,3026,NA,,,,
W01,4689,3103,3859,2627,4537,2808,2325,2581,3194,3309,3036,3323,1394,3917,4378,4932,3606,3459,4743,4784,4481,3851,4042,3979,3249,4590,4934,4098,3912,3685,4079,2832,2801,2053,3796,3895,2809,2945,3909,3162,4986,2833,2879,1895,1889,4372,2946,3150,2865,3697,3307,4862,4930,1088,2671,4523,3202,3860,NA,,,
W02,5479,3614,4598,3128,5312,3293,2739,3056,3720,3890,3480,3888,1619,4534,5148,5808,4241,4089,5672,5681,5284,4448,4763,4634,3803,5334,5848,4796,4660,4371,4814,3303,3309,2336,4391,4602,3199,3502,4618,3651,5776,3282,3491,2245,2184,5112,3378,3652,3314,4338,3864,5858,5738,1259,3052,5338,3705,4581,5492,NA,,
W03,3567,2431,3012,2102,3473,2220,1835,2023,2481,2554,2428,2625,1087,3078,3421,3809,2863,2753,3652,3756,3506,2956,3173,3075,2591,3519,3893,3214,3097,2907,3144,2172,2248,1598,2918,3040,2132,2326,3041,2463,3813,2301,2240,1565,1506,3400,2264,2451,2204,2909,2499,3800,3887,877,2055,3595,2524,3018,3687,4258,NA,
W04,5011,3351,4242,2854,4958,3106,2520,2865,3594,3662,3353,3606,1549,4267,4900,5504,3964,3843,5399,5223,4989,4213,4496,4323,3517,4973,5579,4477,4316,4146,4517,3057,3053,2265,4126,4354,2976,3324,4277,3437,5600,3070,3338,2167,2088,4873,3268,3421,3140,4032,3610,5427,5447,1166,2911,4980,3499,4298,5173,5955,4050,NA
