"","L01","L02","L03","L05","L06","L07","N01","N02","N03","N04","N05","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N25","N26","N27","N28","N29","N30","N31","N32","N33","N34","N35","N36","N37","N39","N40","N41","N42","N43","N44","N45","N46","N48","N49","N50","N51","N52","N53","N54","N56","N57","N58","N59","N60","N61","N62","N63","N64","N65","W01","W02","W03","W04"
"N05",360,593,301,226,395,432,39,1147,1073,1057,NA,1386,1025,114,233,91,161,1918,2591,1793,1361,2,2678,1609,2469,25,12,1621,1150,1458,2312,72,2078,1074,1303,2147,2103,1431,1362,119,304,1576,1465,1178,1862,24,1973,1429,2141,1575,1414,1227,1656,222,2266,1684,2611,2763,2409,2041,2473,1553,1943,2487,2208,1596,1632,703,1220,829,1325
"N07",262,423,222,158,297,327,22,979,941,904,1386,NA,1058,99,163,87,145,1335,2140,1540,745,1,2307,927,2226,19,13,1485,769,910,1979,76,1618,942,1195,1649,1882,1121,886,100,188,1484,1549,738,1964,21,1607,935,2154,1046,1169,1106,1301,157,2159,1470,2260,1610,2032,1618,1664,1140,2138,2053,1400,825,1567,527,1018,678,1237
"N08",176,343,174,116,219,219,14,676,593,612,1025,1058,NA,71,95,59,112,1173,1491,1046,682,2,1495,790,1602,22,5,1096,634,701,1489,48,1126,878,951,1057,1257,790,634,88,155,1296,1022,600,1319,18,1160,804,1579,877,915,961,971,127,1397,996,1585,1240,1378,1191,1228,826,1558,1358,1123,626,1045,348,717,493,732
"N09",20,36,19,7,26,20,3,84,84,80,114,99,71,NA,22,5,11,119,171,122,77,3,183,78,174,3,1,116,65,67,150,10,142,86,91,124,164,79,69,8,14,115,146,68,164,2,114,72,170,93,117,90,102,19,186,122,181,131,171,131,138,95,155,161,146,73,136,45,79,45,79
"N10",51,81,46,37,67,76,5,200,189,179,233,163,95,22,NA,9,18,165,373,272,115,1,406,179,263,3,2,173,150,128,207,15,215,89,137,385,339,274,185,9,12,174,212,68,249,6,251,173,260,129,168,123,233,55,272,273,278,244,372,297,299,202,210,381,252,177,227,121,164,127,201
"N11",19,26,9,8,20,16,1,66,63,61,91,87,59,5,9,NA,11,89,129,99,53,0,148,52,143,2,3,87,54,52,106,5,111,55,74,88,108,64,52,6,16,76,93,38,110,4,89,48,124,80,84,60,84,9,135,91,133,81,137,94,92,69,116,133,110,49,112,29,57,36,71
"N12",33,42,28,19,25,32,9,103,107,120,161,145,112,11,18,11,NA,193,210,163,105,0,251,105,251,3,3,163,88,105,211,14,207,110,135,165,197,115,108,12,30,162,187,103,212,2,169,108,211,137,153,132,159,16,231,150,245,190,234,185,190,130,171,204,211,107,203,55,111,74,105
"N13",366,615,350,225,451,446,32,1098,900,918,1918,1335,1173,119,165,89,193,NA,2413,1809,1471,2,2549,1547,2882,42,26,1687,902,1583,2753,73,2502,1447,1487,1714,2002,1189,1042,122,386,2113,1747,1545,1970,27,1884,1632,2815,1777,2071,1454,1817,153,2477,1630,2897,2460,2332,2226,2685,1423,2279,2168,2534,1140,1901,486,1152,775,996
"N14",465,832,415,283,522,593,53,1977,1702,1652,2591,2140,1491,171,373,129,210,2413,NA,3107,1571,6,4695,2033,3807,39,20,2260,1529,1688,3184,117,2822,1458,1810,3492,3613,2334,1699,121,324,2239,2694,1237,3331,38,2857,1837,3443,1805,2038,1647,2396,369,3766,2893,3825,3248,4118,3156,3434,2160,3324,4210,3008,1853,2765,1063,1809,1221,2248
"N15",390,677,329,233,418,489,38,1388,1252,1266,1793,1540,1046,122,272,99,163,1809,3107,NA,1046,0,3267,1460,2665,31,20,1634,1080,1232,2159,90,1920,1042,1265,2398,2541,1689,1245,96,210,1678,1986,880,2342,25,1992,1432,2565,1225,1631,1152,1829,265,2673,1979,2688,2200,2978,2323,2546,1601,2299,2986,2068,1282,2010,754,1332,898,1659
"N16",252,399,203,155,288,269,25,653,508,496,1361,745,682,77,115,53,105,1471,1571,1046,NA,0,1485,1193,1509,26,16,920,817,1065,1522,43,1312,876,877,1241,1224,844,971,84,224,1189,801,957,1074,13,1149,1075,1347,1077,943,838,1007,130,1238,988,1492,1849,1366,1273,1704,890,1197,1304,1437,1122,928,402,715,497,598
"N17",0,0,1,1,0,1,0,3,1,1,2,1,2,3,1,0,0,2,6,0,0,NA,3,1,2,0,0,1,1,2,1,0,0,1,2,3,1,2,0,4,0,4,3,0,3,1,6,1,3,2,1,2,1,0,3,2,3,4,1,2,1,3,4,0,0,0,0,0,2,0,1
"N18",488,911,439,312,552,663,56,2135,1981,1989,2678,2307,1495,183,406,148,251,2549,4695,3267,1485,3,NA,1897,4175,36,29,2420,1526,1717,3300,124,3055,1385,1790,4003,4090,2510,1629,119,320,2190,3135,1251,3725,36,3071,1739,3765,1948,2263,1697,2631,384,4262,3067,4392,3152,4858,3268,3453,2287,3411,4814,3495,1768,3239,1116,1952,1350,2497
"N19",378,640,325,223,488,423,27,812,705,717,1609,927,790,78,179,52,105,1547,2033,1460,1193,1,1897,NA,1553,29,14,1008,1139,1301,1546,73,1249,951,920,1647,1468,1387,1430,85,194,1534,866,866,1265,19,1503,1626,1685,931,1166,1024,1352,215,1317,1273,1514,2232,1741,1865,2465,1037,1536,1788,1566,1476,998,587,937,622,889
"N20",394,653,318,223,408,478,41,1781,1542,1537,2469,2226,1602,174,263,143,251,2882,3807,2665,1509,2,4175,1553,NA,44,28,2455,1239,1522,3502,111,3175,1637,2031,2697,3310,1723,1376,149,372,2400,2776,1470,3417,41,2570,1610,3695,2092,2276,1848,2184,248,3906,2499,4271,2913,3711,2885,2978,1991,3322,3639,3212,1422,2935,840,1602,1127,1785
"N21",10,21,8,3,6,12,0,22,17,11,25,19,22,3,3,2,3,42,39,31,26,0,36,29,44,NA,0,29,21,32,48,1,42,21,27,32,36,35,19,1,17,26,29,31,24,2,40,29,38,37,32,24,26,2,41,24,41,44,42,39,39,24,41,45,41,27,32,15,24,20,28
"N22",4,4,0,2,3,4,0,13,9,13,12,13,5,1,2,3,3,26,20,20,16,0,29,14,28,0,NA,12,10,12,21,1,19,7,16,16,27,7,10,1,4,16,18,11,16,0,14,17,20,14,25,11,17,2,21,15,20,24,22,19,23,15,14,19,24,11,20,4,6,8,6
"N23",271,478,253,156,327,343,29,1098,962,947,1621,1485,1096,116,173,87,163,1687,2260,1634,920,1,2420,1008,2455,29,12,NA,830,1070,2284,68,1867,1094,1251,1682,2003,1121,921,95,243,1614,1631,930,2026,25,1809,1091,2289,1277,1392,1188,1503,170,2279,1489,2553,1842,2174,1846,1808,1302,2230,2131,1657,924,1681,611,1170,809,1229
"N24",232,397,208,129,243,298,16,669,596,584,1150,769,634,65,150,54,88,902,1529,1080,817,1,1526,1139,1239,21,10,830,NA,828,1170,47,927,676,688,1348,1239,982,930,75,152,978,722,557,1006,13,1152,950,1141,686,726,733,932,160,1063,1003,1205,1604,1363,1205,1465,838,1159,1438,1148,1011,819,490,745,519,791
"N25",311,495,268,185,365,357,24,668,637,614,1458,910,701,67,128,52,105,1583,1688,1232,1065,2,1717,1301,1522,32,12,1070,828,NA,1582,62,1396,873,898,1354,1324,1002,940,76,223,1234,882,906,1192,21,1306,1176,1539,1102,1087,829,1213,132,1402,1090,1671,1905,1520,1411,1893,1008,1369,1519,1506,1088,1050,473,848,551,837
"N26",378,623,330,215,412,469,38,1406,1230,1234,2312,1979,1489,150,207,106,211,2753,3184,2159,1522,1,3300,1546,3502,48,21,2284,1170,1582,NA,97,2793,1607,1822,2266,2718,1504,1319,141,341,2307,2131,1540,2694,36,2441,1621,3189,2095,1940,1726,2005,222,3218,2073,3704,2857,2963,2429,2686,1706,2963,2932,2601,1395,2334,733,1449,1005,1516
"N27",16,40,15,7,19,26,5,67,59,58,72,76,48,10,15,5,14,73,117,90,43,0,124,73,111,1,1,68,47,62,97,NA,98,38,49,95,103,81,48,6,12,68,85,36,90,4,89,56,111,53,57,54,70,17,106,79,114,102,119,98,102,63,94,112,85,49,87,35,64,35,73
"N28",282,513,262,163,322,371,36,1285,1114,1152,2078,1618,1126,142,215,111,207,2502,2822,1920,1312,0,3055,1249,3175,42,19,1867,927,1396,2793,98,NA,1296,1561,2054,2419,1213,1067,123,330,1761,2047,1423,2412,27,1922,1292,2618,1922,1774,1437,1686,206,2869,1878,3285,2522,2755,2031,2475,1603,2260,2693,2662,1244,2276,616,1244,840,1277
"N29",207,354,209,123,246,254,15,649,558,540,1074,942,878,86,89,55,110,1447,1458,1042,876,1,1385,951,1637,21,7,1094,676,873,1607,38,1296,NA,979,1007,1220,766,725,98,221,1487,958,823,1257,22,1157,1033,1615,1042,1051,1032,983,90,1332,985,1573,1499,1323,1234,1518,755,1541,1256,1282,774,1011,367,695,487,611
"N30",209,403,186,136,269,259,22,867,695,712,1303,1195,951,91,137,74,135,1487,1810,1265,877,2,1790,920,2031,27,16,1251,688,898,1822,49,1561,979,NA,1294,1520,859,783,95,212,1418,1281,846,1551,20,1415,943,1880,1203,1168,1029,1106,128,1846,1170,1963,1623,1721,1409,1569,965,1701,1638,1465,791,1359,400,870,561,858
"N31",441,763,382,251,487,550,35,1612,1542,1491,2147,1649,1057,124,385,88,165,1714,3492,2398,1241,3,4003,1647,2697,32,16,1682,1348,1354,2266,95,2054,1007,1294,NA,3098,2209,1511,105,211,1637,1978,875,2444,26,2440,1478,2561,1308,1483,1155,2023,343,2798,2326,2871,2639,3631,2541,2726,1750,2283,3718,2461,1589,2033,957,1478,999,1985
"N32",421,699,361,241,436,527,40,1746,1507,1514,2103,1882,1257,164,339,108,197,2002,3613,2541,1224,1,4090,1468,3310,36,27,2003,1239,1324,2718,103,2419,1220,1520,3098,NA,1990,1332,123,250,1929,2401,1002,2932,32,2523,1401,3059,1514,1754,1418,1995,293,3282,2441,3391,2463,3752,2641,2588,1796,2860,3665,2648,1443,2486,912,1491,1070,1919
"N33",311,580,303,209,389,426,24,1101,1002,981,1431,1121,790,79,274,64,115,1189,2334,1689,844,2,2510,1387,1723,35,7,1121,982,1002,1504,81,1213,766,859,2209,1990,NA,1119,74,138,1299,1295,587,1632,26,1687,1184,1838,809,1046,835,1450,237,1713,1576,1759,1780,2245,1851,1991,1139,1661,2304,1533,1103,1276,657,1008,723,1243
"N34",279,481,235,157,312,332,23,751,682,663,1362,886,634,69,185,52,108,1042,1699,1245,971,0,1629,1430,1376,19,10,921,930,940,1319,48,1067,725,783,1511,1332,1119,NA,75,168,1021,837,656,1128,20,1292,1138,1276,866,811,737,1054,172,1269,1161,1350,1862,1519,1441,1730,991,1168,1578,1375,1224,922,487,779,520,808
"N35",26,32,30,19,21,26,3,59,43,61,119,100,88,8,9,6,12,122,121,96,84,4,119,85,149,1,1,95,75,76,141,6,123,98,95,105,123,74,75,NA,20,125,95,65,117,4,102,98,129,97,83,87,86,6,124,97,151,148,118,100,145,88,136,119,117,80,91,38,62,50,68
"N36",57,99,30,24,52,53,2,138,109,118,304,188,155,14,12,16,30,386,324,210,224,0,320,194,372,17,4,243,152,223,341,12,330,221,212,211,250,138,168,20,NA,274,193,247,245,5,220,234,337,278,259,210,209,14,308,216,387,371,287,274,358,196,258,281,331,181,223,83,148,101,112
"N37",347,587,340,175,394,409,26,1032,894,879,1576,1484,1296,115,174,76,162,2113,2239,1678,1189,4,2190,1534,2400,26,16,1614,978,1234,2307,68,1761,1487,1418,1637,1929,1299,1021,125,274,NA,1549,1083,1964,27,1850,1580,2604,1330,1698,1503,1599,149,2066,1478,2315,2045,2041,2051,2274,1160,2566,2034,1709,1012,1589,589,1124,751,1102
"N39",289,486,244,148,296,356,30,1340,1156,1153,1465,1549,1022,146,212,93,187,1747,2694,1986,801,3,3135,866,2776,29,18,1631,722,882,2131,85,2047,958,1281,1978,2401,1295,837,95,193,1549,NA,785,2454,29,1740,922,2503,1301,1563,1099,1437,181,2892,1849,2923,1643,2758,1917,1876,1425,2256,2706,1973,821,2286,605,1139,798,1417
"N40",183,315,168,108,192,202,14,486,421,409,1178,738,600,68,68,38,103,1545,1237,880,957,0,1251,866,1470,31,11,930,557,906,1540,36,1423,823,846,875,1002,587,656,65,247,1083,785,NA,953,14,971,906,1333,1171,963,785,845,86,1223,828,1539,1603,1150,1056,1502,737,1085,1077,1361,745,901,257,590,416,441
"N41",321,603,293,197,345,418,34,1609,1387,1381,1862,1964,1319,164,249,110,212,1970,3331,2342,1074,3,3725,1265,3417,24,16,2026,1006,1192,2694,90,2412,1257,1551,2444,2932,1632,1128,117,245,1964,2454,953,NA,30,2224,1294,3088,1525,1779,1442,1872,235,3369,2199,3425,2163,3328,2432,2336,1646,3015,3308,2325,1105,2563,739,1372,931,1721
"N42",8,8,3,3,7,9,1,22,19,21,24,21,18,2,6,4,2,27,38,25,13,1,36,19,41,2,0,25,13,21,36,4,27,22,20,26,32,26,20,4,5,27,29,14,30,NA,27,23,34,20,27,25,27,3,36,29,36,25,33,30,25,25,26,34,27,18,29,10,15,16,16
"N43",393,660,356,244,453,518,29,1341,1192,1179,1973,1607,1160,114,251,89,169,1884,2857,1992,1149,6,3071,1503,2570,40,14,1809,1152,1306,2441,89,1922,1157,1415,2440,2523,1687,1292,102,220,1850,1740,971,2224,27,NA,1478,2530,1363,1525,1256,1889,242,2520,1923,2775,2320,2760,2305,2374,1561,2460,2825,2003,1326,1820,823,1381,967,1598
"N44",340,557,295,200,385,385,18,775,664,640,1429,935,804,72,173,48,108,1632,1837,1432,1075,1,1739,1626,1610,29,17,1091,950,1176,1621,56,1292,1033,943,1478,1401,1184,1138,98,234,1580,922,906,1294,23,1478,NA,1773,961,1214,968,1301,158,1393,1225,1606,2007,1582,1703,2336,972,1589,1674,1421,1203,974,504,904,603,859
"N45",419,734,372,235,498,559,34,1559,1401,1436,2141,2154,1579,170,260,124,211,2815,3443,2565,1347,3,3765,1685,3695,38,20,2289,1141,1539,3189,111,2618,1615,1880,2561,3059,1838,1276,129,337,2604,2503,1333,3088,34,2530,1773,NA,1741,2293,1729,2245,225,3371,2231,3706,2552,3393,2934,2993,1812,3355,3344,2498,1249,2554,846,1620,1057,1723
"N46",208,394,221,129,288,260,24,789,663,669,1575,1046,877,93,129,80,137,1777,1805,1225,1077,2,1948,931,2092,37,14,1277,686,1102,2095,53,1922,1042,1203,1308,1514,809,866,97,278,1330,1301,1171,1525,20,1363,961,1741,NA,1209,1011,1172,137,1899,1209,2212,1983,1778,1359,1673,1113,1515,1651,1834,953,1362,403,846,571,746
"N48",279,491,269,174,357,400,20,974,879,898,1414,1169,915,117,168,84,153,2071,2038,1631,943,1,2263,1166,2276,32,25,1392,726,1087,1940,57,1774,1051,1168,1483,1754,1046,811,83,259,1698,1563,963,1779,27,1525,1214,2293,1209,NA,1169,1455,162,2064,1410,2225,1675,2129,1814,2032,1106,1902,1961,1836,807,1668,484,953,646,911
"N49",219,392,188,126,263,264,15,763,674,621,1227,1106,961,90,123,60,132,1454,1647,1152,838,2,1697,1024,1848,24,11,1188,733,829,1726,54,1437,1032,1029,1155,1418,835,737,87,210,1503,1099,785,1442,25,1256,968,1729,1011,1169,NA,1037,124,1603,1133,1736,1522,1529,1375,1564,874,1732,1504,1439,787,1186,418,779,542,773
"N50",349,633,338,209,437,448,23,1117,1056,1051,1656,1301,971,102,233,84,159,1817,2396,1829,1007,1,2631,1352,2184,26,17,1503,932,1213,2005,70,1686,983,1106,2023,1995,1450,1054,86,209,1599,1437,845,1872,27,1889,1301,2245,1172,1455,1037,NA,215,2083,1608,2329,1876,2354,2003,2142,1368,1954,2356,1724,1064,1607,656,1116,806,1281
"N51",36,82,42,23,41,68,6,175,177,173,222,157,127,19,55,9,16,153,369,265,130,0,384,215,248,2,2,170,160,132,222,17,206,90,128,343,293,237,172,6,14,149,181,86,235,3,242,158,225,137,162,124,215,NA,258,235,270,269,342,278,300,199,225,353,260,178,194,111,154,106,202
"N52",362,675,333,219,417,504,40,1807,1540,1484,2266,2159,1397,186,272,135,231,2477,3766,2673,1238,3,4262,1317,3906,41,21,2279,1063,1402,3218,106,2869,1332,1846,2798,3282,1713,1269,124,308,2066,2892,1223,3369,36,2520,1393,3371,1899,2064,1603,2083,258,NA,2447,4073,2580,3792,2726,2690,1982,3306,3743,2720,1249,3013,883,1603,1141,2038
"N53",311,546,286,216,357,410,32,1306,1148,1151,1684,1470,996,122,273,91,150,1630,2893,1979,988,2,3067,1273,2499,24,15,1489,1003,1090,2073,79,1878,985,1170,2326,2441,1576,1161,97,216,1478,1849,828,2199,29,1923,1225,2231,1209,1410,1133,1608,235,2447,NA,2558,2045,2792,2096,2191,1454,2136,2667,1947,1217,1901,696,1156,798,1468
"N54",404,697,355,252,459,546,49,1795,1534,1568,2611,2260,1585,181,278,133,245,2897,3825,2688,1492,3,4392,1514,4271,41,20,2553,1205,1671,3704,114,3285,1573,1963,2871,3391,1759,1350,151,387,2315,2923,1539,3425,36,2775,1606,3706,2212,2225,1736,2329,270,4073,2558,NA,3009,3857,2867,3022,2184,3326,3858,3073,1445,3023,841,1670,1197,1940
"N56",416,758,399,269,539,537,44,1303,1145,1130,2763,1610,1240,131,244,81,190,2460,3248,2200,1849,4,3152,2232,2913,44,24,1842,1604,1905,2857,102,2522,1499,1623,2639,2463,1780,1862,148,371,2045,1643,1603,2163,25,2320,2007,2552,1983,1675,1522,1876,269,2580,2045,3009,NA,2852,2484,3311,1795,2318,2890,2825,2206,1839,792,1446,996,1365
"N57",496,824,384,297,525,597,53,1949,1776,1747,2409,2032,1378,171,372,137,234,2332,4118,2978,1366,1,4858,1741,3711,42,22,2174,1363,1520,2963,119,2755,1323,1721,3631,3752,2245,1519,118,287,2041,2758,1150,3328,33,2760,1582,3393,1778,2129,1529,2354,342,3792,2792,3857,2852,NA,3076,3059,2115,3065,4306,3117,1586,2930,1034,1705,1162,2251
"N58",424,743,391,264,501,541,36,1414,1264,1298,2041,1618,1191,131,297,94,185,2226,3156,2323,1273,2,3268,1865,2885,39,19,1846,1205,1411,2429,98,2031,1234,1409,2541,2641,1851,1441,100,274,2051,1917,1056,2432,30,2305,1703,2934,1359,1814,1375,2003,278,2726,2096,2867,2484,3076,NA,2832,1630,2654,2983,2191,1470,2015,797,1459,991,1636
"N59",506,853,469,318,617,609,42,1392,1306,1296,2473,1664,1228,138,299,92,190,2685,3434,2546,1704,1,3453,2465,2978,39,23,1808,1465,1893,2686,102,2475,1518,1569,2726,2588,1991,1730,145,358,2274,1876,1502,2336,25,2374,2336,2993,1673,2032,1564,2142,300,2690,2191,3022,3311,3059,2832,NA,1778,2587,3254,2737,1903,1982,817,1513,1047,1639
"N60",279,425,232,165,271,331,28,1014,919,948,1553,1140,826,95,202,69,130,1423,2160,1601,890,3,2287,1037,1991,24,15,1302,838,1008,1706,63,1603,755,965,1750,1796,1139,991,88,196,1160,1425,737,1646,25,1561,972,1812,1113,1106,874,1368,199,1982,1454,2184,1795,2115,1630,1778,NA,1582,2117,1610,1056,1447,528,942,637,1086
"N61",408,681,357,205,427,491,40,1481,1292,1308,1943,2138,1558,155,210,116,171,2279,3324,2299,1197,4,3411,1536,3322,41,14,2230,1159,1369,2963,94,2260,1541,1701,2283,2860,1661,1168,136,258,2566,2256,1085,3015,26,2460,1589,3355,1515,1902,1732,1954,225,3306,2136,3326,2318,3065,2654,2587,1582,NA,3088,2039,1132,2391,769,1509,1028,1802
"N62",492,822,409,295,507,604,53,1926,1787,1802,2487,2053,1358,161,381,133,204,2168,4210,2986,1304,0,4814,1788,3639,45,19,2131,1438,1519,2932,112,2693,1256,1638,3718,3665,2304,1578,119,281,2034,2706,1077,3308,34,2825,1674,3344,1651,1961,1504,2356,353,3743,2667,3858,2890,4306,2983,3254,2117,3088,NA,2898,1624,2784,1030,1787,1179,2300
"N63",362,609,333,238,432,459,38,1387,1211,1215,2208,1400,1123,146,252,110,211,2534,3008,2068,1437,0,3495,1566,3212,41,24,1657,1148,1506,2601,85,2662,1282,1465,2461,2648,1533,1375,117,331,1709,1973,1361,2325,27,2003,1421,2498,1834,1836,1439,1724,260,2720,1947,3073,2825,3117,2191,2737,1610,2039,2898,NA,1593,2175,699,1236,859,1231
"N64",251,464,253,147,317,340,34,746,705,654,1596,825,626,73,177,49,107,1140,1853,1282,1122,0,1768,1476,1422,27,11,924,1011,1088,1395,49,1244,774,791,1589,1443,1103,1224,80,181,1012,821,745,1105,18,1326,1203,1249,953,807,787,1064,178,1249,1217,1445,2206,1586,1470,1903,1056,1132,1624,1593,NA,908,503,822,532,809
"N65",302,493,263,172,310,362,30,1355,1229,1210,1632,1567,1045,136,227,112,203,1901,2765,2010,928,0,3239,998,2935,32,20,1681,819,1050,2334,87,2276,1011,1359,2033,2486,1276,922,91,223,1589,2286,901,2563,29,1820,974,2554,1362,1668,1186,1607,194,3013,1901,3023,1839,2930,2015,1982,1447,2391,2784,2175,908,NA,625,1186,807,1440
"W01",476,869,519,306,538,645,11,526,452,448,703,527,348,45,121,29,55,486,1063,754,402,0,1116,587,840,15,4,611,490,473,733,35,616,367,400,957,912,657,487,38,83,589,605,257,739,10,823,504,846,403,484,418,656,111,883,696,841,792,1034,797,817,528,769,1030,699,503,625,NA,1594,1156,1472
"W02",820,1576,854,449,921,1140,27,829,757,751,1220,1018,717,79,164,57,111,1152,1809,1332,715,2,1952,937,1602,24,6,1170,745,848,1449,64,1244,695,870,1478,1491,1008,779,62,148,1124,1139,590,1372,15,1381,904,1620,846,953,779,1116,154,1603,1156,1670,1446,1705,1459,1513,942,1509,1787,1236,822,1186,1594,NA,1979,2263
"W03",554,1017,556,325,596,775,20,645,553,496,829,678,493,45,127,36,74,775,1221,898,497,0,1350,622,1127,20,8,809,519,551,1005,35,840,487,561,999,1070,723,520,50,101,751,798,416,931,16,967,603,1057,571,646,542,806,106,1141,798,1197,996,1162,991,1047,637,1028,1179,859,532,807,1156,1979,NA,1419
"W04",680,1233,681,411,790,867,33,1070,976,958,1325,1237,732,79,201,71,105,996,2248,1659,598,1,2497,889,1785,28,6,1229,791,837,1516,73,1277,611,858,1985,1919,1243,808,68,112,1102,1417,441,1721,16,1598,859,1723,746,911,773,1281,202,2038,1468,1940,1365,2251,1636,1639,1086,1802,2300,1231,809,1440,1472,2263,1419,NA
