"","L01","L02","L03","L05","L06","L07","N01","N02","N03","N04","N05","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N25","N26","N27","N28","N29","N30","N31","N32","N33","N34","N35","N36","N37","N39","N40","N41","N42","N43","N44","N45","N46","N48","N49","N50","N51","N52","N53","N54","N56","N57","N58","N59","N60","N61","N62","N63","N64","N65","W01","W02","W03","W04"
"L01",NA,867,491,307,609,632,3,221,217,229,360,262,176,20,51,19,33,366,465,390,252,0,488,378,394,10,4,271,232,311,378,16,282,207,209,441,421,311,279,26,57,347,289,183,321,8,393,340,419,208,279,219,349,36,362,311,404,416,496,424,506,279,408,492,362,251,302,476,820,554,680
"L02",867,NA,941,478,1014,1123,8,387,376,349,593,423,343,36,81,26,42,615,832,677,399,0,911,640,653,21,4,478,397,495,623,40,513,354,403,763,699,580,481,32,99,587,486,315,603,8,660,557,734,394,491,392,633,82,675,546,697,758,824,743,853,425,681,822,609,464,493,869,1576,1017,1233
"L03",491,941,NA,343,641,654,1,202,178,177,301,222,174,19,46,9,28,350,415,329,203,1,439,325,318,8,0,253,208,268,330,15,262,209,186,382,361,303,235,30,30,340,244,168,293,3,356,295,372,221,269,188,338,42,333,286,355,399,384,391,469,232,357,409,333,253,263,519,854,556,681
"L05",307,478,343,NA,437,362,5,143,124,128,226,158,116,7,37,8,19,225,283,233,155,1,312,223,223,3,2,156,129,185,215,7,163,123,136,251,241,209,157,19,24,175,148,108,197,3,244,200,235,129,174,126,209,23,219,216,252,269,297,264,318,165,205,295,238,147,172,306,449,325,411
"L06",609,1014,641,437,NA,701,10,245,219,221,395,297,219,26,67,20,25,451,522,418,288,0,552,488,408,6,3,327,243,365,412,19,322,246,269,487,436,389,312,21,52,394,296,192,345,7,453,385,498,288,357,263,437,41,417,357,459,539,525,501,617,271,427,507,432,317,310,538,921,596,790
"L07",632,1123,654,362,701,NA,10,319,283,275,432,327,219,20,76,16,32,446,593,489,269,1,663,423,478,12,4,343,298,357,469,26,371,254,259,550,527,426,332,26,53,409,356,202,418,9,518,385,559,260,400,264,448,68,504,410,546,537,597,541,609,331,491,604,459,340,362,645,1140,775,867
"N01",3,8,1,5,10,10,NA,24,26,24,39,22,14,3,5,1,9,32,53,38,25,0,56,27,41,0,0,29,16,24,38,5,36,15,22,35,40,24,23,3,2,26,30,14,34,1,29,18,34,24,20,15,23,6,40,32,49,44,53,36,42,28,40,53,38,34,30,11,27,20,33
"N02",221,387,202,143,245,319,24,NA,908,880,1147,979,676,84,200,66,103,1098,1977,1388,653,3,2135,812,1781,22,13,1098,669,668,1406,67,1285,649,867,1612,1746,1101,751,59,138,1032,1340,486,1609,22,1341,775,1559,789,974,763,1117,175,1807,1306,1795,1303,1949,1414,1392,1014,1481,1926,1387,746,1355,526,829,645,1070
"N03",217,376,178,124,219,283,26,908,NA,833,1073,941,593,84,189,63,107,900,1702,1252,508,1,1981,705,1542,17,9,962,596,637,1230,59,1114,558,695,1542,1507,1002,682,43,109,894,1156,421,1387,19,1192,664,1401,663,879,674,1056,177,1540,1148,1534,1145,1776,1264,1306,919,1292,1787,1211,705,1229,452,757,553,976
"N04",229,349,177,128,221,275,24,880,833,NA,1057,904,612,80,179,61,120,918,1652,1266,496,1,1989,717,1537,11,13,947,584,614,1234,58,1152,540,712,1491,1514,981,663,61,118,879,1153,409,1381,21,1179,640,1436,669,898,621,1051,173,1484,1151,1568,1130,1747,1298,1296,948,1308,1802,1215,654,1210,448,751,496,958
