"","L01","L02","L03","L05","L06","L07","N01","N02","N03","N04","N05","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N25","N26","N27","N28","N29","N30","N31","N32","N33","N34","N35","N36","N37","N39","N40","N41","N42","N43","N44","N45","N46","N48","N49","N50","N51","N52","N53","N54","N56","N57","N58","N59","N60","N61","N62","N63","N64","N65","W01","W02","W03","W04"
"L01",NA,3746,4893,3287,5452,3460,66,2441,2758,3357,3459,3114,3446,607,1382,434,562,4131,4532,5089,3747,3665,4914,4956,4713,3987,4218,4120,47,3349,4878,281,5060,4353,4149,3679,4242,2982,3036,536,2131,4097,4064,2961,3221,19,4058,3293,4963,3045,3047,2044,2061,4639,3070,3290,3014,3832,3472,4986,4961,1115,2769,4700,0,3276,3993,4689,5479,3567,5011
"L02",3746,NA,3266,2227,3634,2341,49,1677,1882,2250,2344,2078,2388,389,936,308,380,2706,3039,3334,2526,2466,3323,3247,3097,2668,2832,2734,37,2237,3189,200,3357,2871,2781,2492,2836,1989,2026,380,1443,2778,2661,1937,2144,11,2692,2178,3318,2060,2125,1422,1399,3101,2043,2199,2071,2609,2272,3328,3246,817,1884,3118,0,2235,2612,3103,3614,2431,3351
"L03",4893,3266,NA,2936,4704,2979,57,2035,2296,2919,3049,2554,3036,520,1183,357,476,3540,3819,4276,3173,3057,4182,4183,4008,3426,3548,3500,42,2806,4103,229,4210,3744,3538,3161,3522,2577,2668,449,1809,3533,3341,2587,2792,19,3424,2814,4198,2564,2658,1768,1713,3871,2589,2831,2492,3242,2843,4244,4195,977,2379,3914,0,2814,3291,3859,4598,3012,4242
"L05",3287,2227,2936,NA,3294,1894,42,1390,1558,1964,2114,1759,2174,364,813,255,317,2468,2613,2872,2190,2093,2792,2848,2746,2342,2390,2413,29,1930,2858,158,2839,2606,2439,2083,2389,1764,1811,323,1257,2410,2313,1768,1908,15,2341,1979,2848,1866,1863,1221,1232,2610,1803,1867,1758,2244,1976,2766,2821,714,1641,2694,0,1946,2216,2627,3128,2102,2854
"L06",5452,3634,4704,3294,NA,3166,65,2387,2654,3257,3453,2950,3460,581,1352,412,513,3987,4290,4859,3613,3498,4803,4767,4533,3972,4159,3982,46,3273,4659,280,4807,4239,4008,3520,4052,2776,2878,481,2086,3951,3855,2899,3066,18,3956,3185,4721,2941,2996,1904,1971,4558,2977,3165,2854,3687,3336,4702,4751,1106,2687,4451,0,3187,3890,4537,5312,3473,4958
"L07",3460,2341,2979,1894,3166,NA,50,1584,1682,2039,2140,1867,2175,379,935,278,349,2503,2796,3122,2320,2199,3048,2979,2883,2453,2569,2476,40,2042,2857,183,3085,2590,2538,2286,2543,1833,1826,356,1311,2460,2508,1820,1980,12,2399,1969,3018,1864,1934,1298,1299,2798,1874,2043,1899,2365,2102,2995,3028,729,1740,2803,2,2000,2487,2808,3293,2220,3106
"N01",66,49,57,42,65,50,NA,50,61,74,71,51,61,23,27,15,8,81,77,84,53,60,84,80,77,72,84,74,0,64,88,5,74,82,75,55,75,54,59,15,46,70,67,59,52,0,68,55,71,66,59,41,40,85,65,65,68,58,74,67,59,32,54,72,0,57,75,65,65,63,59
"N02",2441,1677,2035,1390,2387,1584,50,NA,1942,2371,2350,2025,2285,468,890,331,339,2650,2762,2946,2226,2279,2932,2916,2787,2594,2900,2473,34,1877,3087,180,2602,2788,2854,2111,2761,2002,1983,354,1463,2614,2433,1942,2172,12,2522,1938,2631,1997,2186,1396,1476,3199,2085,2237,2130,2190,2420,2606,2551,824,1981,2787,1,1983,2492,2325,2739,1835,2520
"N03",2758,1882,2296,1558,2654,1682,61,1942,NA,2803,2792,2249,2641,532,1008,382,446,3186,3136,3534,2489,2445,3378,3425,3136,2938,3367,2835,34,2079,3515,202,2963,3283,3297,2462,3224,2403,2313,375,1640,3065,2904,2233,2547,15,2999,2261,3070,2237,2640,1621,1687,3811,2553,2453,2457,2665,2812,2884,2893,904,2220,3210,0,2246,2880,2581,3056,2023,2865
"N04",3357,2250,2919,1964,3257,2039,74,2371,2803,NA,3253,2672,3096,596,1185,457,499,3768,3789,4280,2971,3009,4149,4002,3790,3518,4069,3315,48,2546,4150,236,3700,3825,3847,2949,3706,2807,2752,453,1968,3543,3449,2669,2895,13,3508,2575,3662,2670,3022,1862,2042,4497,2966,3045,2971,3047,3328,3548,3519,1106,2550,3831,0,2634,3543,3194,3720,2481,3594
