"","L01","L02","L03","L05","L06","L07","N01","N02","N03","N04","N05","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22","N23","N24","N25","N26","N27","N28","N29","N30","N31","N32","N33","N34","N35","N36","N37","N39","N40","N41","N42","N43","N44","N45","N46","N48","N49","N50","N51","N52","N53","N54","N56","N57","N58","N59","N60","N61","N62","N63","N64","N65","W01","W02","W03","W04"
"N05",3459,2344,3049,2114,3453,2140,71,2350,2792,3253,NA,2788,3480,631,1237,474,513,3868,3813,4354,3227,3081,4068,4398,3980,3749,4037,3634,59,2743,4490,231,3812,4239,4169,2966,3854,2987,3052,473,2174,3997,3479,3022,3140,12,3791,2937,3920,2932,3155,2057,2004,4419,2969,2951,3053,3509,3276,3645,3660,1136,2846,3970,0,2943,3511,3309,3890,2554,3662
"N07",3114,2078,2554,1759,2950,1867,51,2025,2249,2672,2788,NA,2728,519,1032,352,415,3089,3324,3607,2773,2740,3421,3701,3370,3001,3293,3050,39,2340,3625,216,3330,3325,3379,2647,3317,2408,2380,405,1684,3113,2883,2287,2473,17,3188,2432,3411,2270,2438,1708,1647,3632,2464,2522,2453,2815,2731,3327,3339,924,2261,3382,1,2512,2940,3036,3480,2428,3353
"N08",3446,2388,3036,2174,3460,2175,61,2285,2641,3096,3480,2728,NA,643,1143,441,507,3700,3892,4291,3267,3110,3968,4523,4205,3791,3893,3867,58,2667,4582,207,3859,4569,4139,3040,3945,3012,3189,506,1967,4298,3488,3019,3386,12,3748,3015,4038,2718,3157,2161,1889,4285,2823,2966,2845,3559,3152,3872,3794,1071,2939,3953,0,3106,3373,3323,3888,2625,3606
"N09",607,389,520,364,581,379,23,468,532,596,631,519,643,NA,254,111,119,656,716,739,561,588,728,822,704,680,714,635,11,476,800,50,667,795,725,548,712,570,598,105,382,732,647,535,628,5,661,556,649,511,620,396,404,790,561,581,572,637,624,650,655,247,525,734,0,571,643,575,700,469,617
"N10",1382,936,1183,813,1352,935,27,890,1008,1185,1237,1032,1143,254,NA,185,239,1406,1497,1668,1223,1154,1655,1597,1512,1364,1526,1337,19,1036,1560,101,1545,1466,1428,1269,1385,1070,1060,190,737,1364,1427,992,1098,8,1359,1112,1558,1022,1182,709,749,1620,1132,1128,1098,1252,1270,1488,1584,411,962,1554,0,1102,1346,1394,1619,1087,1549
"N11",434,308,357,255,412,278,15,331,382,457,474,352,441,111,185,NA,80,488,494,533,413,383,520,505,503,463,532,435,10,347,542,45,473,502,536,374,483,391,390,89,302,500,441,371,410,3,471,370,455,389,411,286,290,562,382,401,417,422,443,442,450,164,361,504,0,355,455,408,467,325,459
"N12",562,380,476,317,513,349,8,339,446,499,513,415,507,119,239,80,NA,568,617,679,508,461,679,655,632,541,621,570,10,450,664,49,648,610,580,485,612,469,447,85,309,571,580,420,494,1,564,485,641,437,493,330,308,681,464,472,465,490,505,611,631,187,418,634,0,463,574,561,612,421,606
"N13",4131,2706,3540,2468,3987,2503,81,2650,3186,3768,3868,3089,3700,656,1406,488,568,NA,4425,5035,3651,3617,4831,4977,4546,4248,4734,4094,49,3122,5040,290,4565,4567,4501,3506,4477,3169,3233,534,2387,4168,4059,3282,3437,20,4186,3196,4487,3394,3545,2178,2272,5029,3383,3458,3393,3724,3805,4407,4355,1273,2980,4631,1,3282,4102,3917,4534,3078,4267
"N14",4532,3039,3819,2613,4290,2796,77,2762,3136,3789,3813,3324,3892,716,1497,494,617,4425,NA,5346,4022,3762,5110,5327,4986,4308,4660,4374,51,3305,5235,285,5049,4825,4714,3902,4743,3420,3385,562,2371,4469,4354,3249,3595,17,4394,3560,5149,3212,3503,2351,2258,5019,3401,3560,3324,4140,3949,5169,4932,1273,3201,4968,1,3568,4247,4378,5148,3421,4900
"N15",5089,3334,4276,2872,4859,3122,84,2946,3534,4280,4354,3607,4291,739,1668,533,679,5035,5346,NA,4295,4155,5839,5858,5422,4686,5403,4785,60,3599,5735,325,5613,5287,5149,4307,5182,3699,3790,614,2549,4889,4927,3632,3943,22,4855,3794,5661,3567,4086,2530,2511,5948,3827,3917,3754,4471,4474,5490,5573,1376,3472,5548,1,3820,4862,4932,5808,3809,5504
"N16",3747,2526,3173,2190,3613,2320,53,2226,2489,2971,3227,2773,3267,561,1223,413,508,3651,4022,4295,NA,3074,4101,4455,4118,3600,3787,3707,45,2875,4380,221,4198,4008,3822,3170,3869,2794,2819,503,1957,3739,3433,2729,2906,18,3690,2980,4164,2694,2822,1964,1824,4077,2711,2911,2715,3504,3063,4095,4127,1068,2601,4012,0,3106,3382,3606,4241,2863,3964
"N17",3665,2466,3057,2093,3498,2199,60,2279,2445,3009,3081,2740,3110,588,1154,383,461,3617,3762,4155,3074,NA,4067,4048,3856,3507,3911,3346,34,2664,4215,241,3838,3807,3815,3000,3696,2589,2676,502,1959,3537,3304,2566,2760,14,3566,2644,3872,2693,2792,1871,1838,4161,2812,3106,2751,3011,3118,3883,3855,1076,2568,3863,0,2676,3378,3459,4089,2753,3843
"N18",4914,3323,4182,2792,4803,3048,84,2932,3378,4149,4068,3421,3968,728,1655,520,679,4831,5110,5839,4101,4067,NA,5278,5190,4504,5220,4430,55,3626,5511,311,5622,4819,4742,4103,4802,3440,3402,578,2486,4576,4775,3293,3679,24,4476,3519,5323,3456,3842,2303,2455,5759,3730,3965,3688,4107,4348,5341,5430,1334,3141,5356,1,3530,4693,4743,5672,3652,5399
"N19",4956,3247,4183,2848,4767,2979,80,2916,3425,4002,4398,3701,4523,822,1597,505,655,4977,5327,5858,4455,4048,5278,NA,5559,4787,5074,5107,62,3549,5748,293,5361,5577,5416,4255,5335,3757,3923,628,2561,5180,4599,3761,3992,23,5096,4118,5698,3495,3910,2651,2406,5540,3671,3756,3585,4824,4129,5475,5437,1361,3582,5518,1,4226,4648,4784,5681,3756,5223
"N20",4713,3097,4008,2746,4533,2883,77,2787,3136,3790,3980,3370,4205,704,1512,503,632,4546,4986,5422,4118,3856,5190,5559,NA,4419,4744,4604,53,3329,5379,289,5220,5095,4771,4036,4807,3461,3552,569,2285,4718,4360,3351,3777,21,4517,3636,5378,3247,3669,2444,2227,5167,3405,3617,3321,4307,3816,5178,5103,1300,3255,4980,0,3782,4334,4481,5284,3506,4989
"N21",3987,2668,3426,2342,3972,2453,72,2594,2938,3518,3749,3001,3791,680,1364,463,541,4248,4308,4686,3600,3507,4504,4787,4419,NA,4384,4023,58,3036,5150,232,4330,4650,4480,3333,4216,3119,3263,534,2357,4344,3741,3191,3463,17,4074,3184,4380,3091,3252,2264,2151,4737,3192,3364,3163,3717,3539,4267,4240,1218,3076,4386,1,3209,3753,3851,4448,2956,4213
"N22",4218,2832,3548,2390,4159,2569,84,2900,3367,4069,4037,3293,3893,714,1526,532,621,4734,4660,5403,3787,3911,5220,5074,4744,4384,NA,4063,52,3195,5244,258,4601,4802,4873,3671,4686,3488,3431,548,2467,4406,4410,3303,3680,21,4386,3290,4560,3352,3818,2328,2450,5622,3719,3743,3691,3848,4282,4490,4572,1373,3186,4809,0,3259,4466,4042,4763,3173,4496
"N23",4120,2734,3500,2413,3982,2476,74,2473,2835,3315,3634,3050,3867,635,1337,435,570,4094,4374,4785,3707,3346,4430,5107,4604,4023,4063,NA,52,3010,4863,261,4641,4707,4326,3545,4387,3131,3184,518,2155,4408,3826,3156,3380,21,4205,3410,4771,2951,3230,2200,2046,4532,3035,3092,2995,4030,3322,4514,4360,1151,3031,4479,0,3438,3756,3979,4634,3075,4323
"N24",47,37,42,29,46,40,0,34,34,48,59,39,58,11,19,10,10,49,51,60,45,34,55,62,53,58,52,52,NA,38,69,3,48,60,56,41,52,48,45,9,29,59,44,47,49,0,57,41,41,42,36,27,27,68,38,47,48,51,46,56,44,18,48,55,0,37,42,48,49,37,52
"N25",3349,2237,2806,1930,3273,2042,64,1877,2079,2546,2743,2340,2667,476,1036,347,450,3122,3305,3599,2875,2664,3626,3549,3329,3036,3195,3010,38,NA,3691,223,3717,3152,3021,2704,3071,2222,2262,392,1648,2961,2894,2297,2330,16,3044,2343,3555,2399,2317,1565,1590,3442,2352,2504,2353,2848,2646,3522,3517,900,2144,3481,0,2483,2944,3249,3803,2591,3517
"N26",4878,3189,4103,2858,4659,2857,88,3087,3515,4150,4490,3625,4582,800,1560,542,664,5040,5235,5735,4380,4215,5511,5748,5379,5150,5244,4863,69,3691,NA,305,5220,5690,5316,3934,5143,3809,3902,614,2685,5266,4543,3838,4175,19,4952,3828,5312,3670,4014,2677,2539,5863,3861,4086,3787,4454,4274,5184,5066,1444,3726,5263,3,3793,4562,4590,5334,3519,4973
"N27",281,200,229,158,280,183,5,180,202,236,231,216,207,50,101,45,49,290,285,325,221,241,311,293,289,232,258,261,3,223,305,NA,308,277,259,243,264,203,202,38,148,249,256,188,192,2,247,205,313,189,216,145,142,297,209,231,216,225,251,310,280,117,206,306,0,213,248,262,310,206,301
"N28",5060,3357,4210,2839,4807,3085,74,2602,2963,3700,3812,3330,3859,667,1545,473,648,4565,5049,5613,4198,3838,5622,5361,5220,4330,4601,4641,48,3717,5220,308,NA,4706,4374,4203,4600,3204,3282,547,2237,4276,4542,3235,3430,21,4448,3589,5698,3257,3422,2218,2192,5063,3337,3462,3278,4224,3743,5664,5644,1214,3018,5185,0,3673,4400,4934,5848,3893,5579
"N29",4353,2871,3744,2606,4239,2590,82,2788,3283,3825,4239,3325,4569,795,1466,502,610,4567,4825,5287,4008,3807,4819,5577,5095,4650,4802,4707,60,3152,5690,277,4706,NA,5086,3657,4794,3685,3888,611,2416,5252,4205,3638,4003,21,4605,3675,4937,3307,3841,2560,2249,5241,3442,3536,3376,4317,3857,4677,4595,1263,3540,4854,0,3758,4170,4098,4796,3214,4477
"N30",4149,2781,3538,2439,4008,2538,75,2854,3297,3847,4169,3379,4139,725,1428,536,580,4501,4714,5149,3822,3815,4742,5416,4771,4480,4873,4326,56,3021,5316,259,4374,5086,NA,3556,4853,3529,3548,570,2438,4747,4105,3416,3736,18,4574,3473,4728,3256,3694,2517,2387,5278,3518,3651,3487,3992,4003,4433,4311,1280,3466,4750,0,3462,4157,3912,4660,3097,4316
"N31",3679,2492,3161,2083,3520,2286,55,2111,2462,2949,2966,2647,3040,548,1269,374,485,3506,3902,4307,3170,3000,4103,4255,4036,3333,3671,3545,41,2704,3934,243,4203,3657,3556,NA,3724,2580,2682,462,1799,3451,3478,2489,2751,23,3497,2803,4221,2574,2753,1778,1782,3962,2661,2683,2610,3294,2992,4119,4164,987,2475,4075,0,2873,3489,3685,4371,2907,4146
"N32",4242,2836,3522,2389,4052,2543,75,2761,3224,3706,3854,3317,3945,712,1385,483,612,4477,4743,5182,3869,3696,4802,5335,4807,4216,4686,4387,52,3071,5143,264,4600,4794,4853,3724,NA,3370,3357,548,2224,4508,4118,3229,3582,20,4581,3448,4922,3188,3530,2348,2207,5135,3399,3412,3322,4035,3840,4652,4596,1243,3197,4802,0,3502,4269,4079,4814,3144,4517
"N33",2982,1989,2577,1764,2776,1833,54,2002,2403,2807,2987,2408,3012,570,1070,391,469,3169,3420,3699,2794,2589,3440,3757,3461,3119,3488,3131,48,2222,3809,203,3204,3685,3529,2580,3370,NA,2613,439,1813,3429,2965,2508,2804,20,3187,2505,3297,2356,2712,1841,1730,3795,2516,2594,2476,2877,2830,3183,3106,952,2468,3411,0,2562,2985,2832,3303,2172,3057
"N34",3036,2026,2668,1811,2878,1826,59,1983,2313,2752,3052,2380,3189,598,1060,390,447,3233,3385,3790,2819,2676,3402,3923,3552,3263,3431,3184,45,2262,3902,202,3282,3888,3548,2682,3357,2613,NA,436,1738,3617,2925,2685,2852,12,3219,2717,3419,2359,2685,1862,1702,3749,2484,2542,2423,3099,2795,3305,3278,984,2514,3509,1,2661,2916,2801,3309,2248,3053
"N35",536,380,449,323,481,356,15,354,375,453,473,405,506,105,190,89,85,534,562,614,503,502,578,628,569,534,548,518,9,392,614,38,547,611,570,462,548,439,436,NA,308,579,499,410,442,3,539,418,577,415,462,321,298,614,433,441,400,480,478,585,561,164,419,572,0,442,496,532,598,402,546
"N36",2131,1443,1809,1257,2086,1311,46,1463,1640,1968,2174,1684,1967,382,737,302,309,2387,2371,2549,1957,1959,2486,2561,2285,2357,2467,2155,29,1648,2685,148,2237,2416,2438,1799,2224,1813,1738,308,NA,2256,2071,1828,1826,12,2244,1723,2258,1772,1820,1185,1209,2699,1861,1888,1861,1978,2028,2246,2217,726,1699,2398,0,1725,2100,2053,2336,1598,2265
"N37",4097,2778,3533,2410,3951,2460,70,2614,3065,3543,3997,3113,4298,732,1364,500,571,4168,4469,4889,3739,3537,4576,5180,4718,4344,4406,4408,59,2961,5266,249,4276,5252,4747,3451,4508,3429,3617,579,2256,NA,3947,3401,3792,19,4265,3400,4611,3069,3621,2484,2120,4843,3265,3294,3212,4059,3657,4365,4270,1172,3379,4529,1,3463,3736,3796,4391,2918,4126
"N39",4064,2661,3341,2313,3855,2508,67,2433,2904,3449,3479,2883,3488,647,1427,441,580,4059,4354,4927,3433,3304,4775,4599,4360,3741,4410,3826,44,2894,4543,256,4542,4205,4105,3478,4118,2965,2925,499,2071,3947,NA,2846,3145,17,3870,3043,4483,2884,3269,2039,2049,4706,3078,3145,3060,3506,3618,4387,4369,1134,2799,4471,2,3058,3941,3895,4602,3040,4354
"N40",2961,1937,2587,1768,2899,1820,59,1942,2233,2669,3022,2287,3019,535,992,371,420,3282,3249,3632,2729,2566,3293,3761,3351,3191,3303,3156,47,2297,3838,188,3235,3638,3416,2489,3229,2508,2685,410,1828,3401,2846,NA,2766,11,3159,2615,3270,2359,2682,1779,1627,3613,2433,2409,2467,2965,2682,3138,3146,894,2429,3315,0,2512,2854,2809,3199,2132,2976
"N41",3221,2144,2792,1908,3066,1980,52,2172,2547,2895,3140,2473,3386,628,1098,410,494,3437,3595,3943,2906,2760,3679,3992,3777,3463,3680,3380,49,2330,4175,192,3430,4003,3736,2751,3582,2804,2852,442,1826,3792,3145,2766,NA,16,3405,2726,3647,2428,2910,1978,1785,3964,2669,2715,2582,3148,2964,3501,3363,1009,2716,3669,0,2707,3083,2945,3502,2326,3324
"N42",19,11,19,15,18,12,0,12,15,13,12,17,12,5,8,3,1,20,17,22,18,14,24,23,21,17,21,21,0,16,19,2,21,21,18,23,20,20,12,3,12,19,17,11,16,NA,17,19,21,16,15,14,17,18,12,12,15,19,18,20,20,9,18,20,0,16,21,18,22,23,25
"N43",4058,2692,3424,2341,3956,2399,68,2522,2999,3508,3791,3188,3748,661,1359,471,564,4186,4394,4855,3690,3566,4476,5096,4517,4074,4386,4205,57,3044,4952,247,4448,4605,4574,3497,4581,3187,3219,539,2244,4265,3870,3159,3405,17,NA,3279,4697,3099,3331,2230,2158,4812,3226,3279,3185,3911,3543,4392,4317,1205,3037,4501,0,3396,3989,3909,4618,3041,4277
"N44",3293,2178,2814,1979,3185,1969,55,1938,2261,2575,2937,2432,3015,556,1112,370,485,3196,3560,3794,2980,2644,3519,4118,3636,3184,3290,3410,41,2343,3828,205,3589,3675,3473,2803,3448,2505,2717,418,1723,3400,3043,2615,2726,19,3279,NA,3732,2336,2616,1822,1623,3558,2433,2481,2398,3221,2676,3610,3643,902,2419,3595,1,2832,3022,3162,3651,2463,3437
"N45",4963,3318,4198,2848,4721,3018,71,2631,3070,3662,3920,3411,4038,649,1558,455,641,4487,5149,5661,4164,3872,5323,5698,5378,4380,4560,4771,41,3555,5312,313,5698,4937,4728,4221,4922,3297,3419,577,2258,4611,4483,3270,3647,21,4697,3732,NA,3209,3506,2315,2169,4989,3337,3510,3230,4451,3752,5698,5631,1230,3185,5235,1,3873,4439,4986,5776,3813,5600
"N46",3045,2060,2564,1866,2941,1864,66,1997,2237,2670,2932,2270,2718,511,1022,389,437,3394,3212,3567,2694,2693,3456,3495,3247,3091,3352,2951,42,2399,3670,189,3257,3307,3256,2574,3188,2356,2359,415,1772,3069,2884,2359,2428,16,3099,2336,3209,NA,2465,1605,1657,3640,2458,2461,2438,2816,2720,3082,3133,950,2220,3264,0,2390,2914,2833,3282,2301,3070
"N48",3047,2125,2658,1863,2996,1934,59,2186,2640,3022,3155,2438,3157,620,1182,411,493,3545,3503,4086,2822,2792,3842,3910,3669,3252,3818,3230,36,2317,4014,216,3422,3841,3694,2753,3530,2712,2685,462,1820,3621,3269,2682,2910,15,3331,2616,3506,2465,NA,1882,1845,4135,2755,2757,2719,3049,3132,3289,3258,1029,2526,3595,0,2602,3270,2879,3491,2240,3338
"N49",2044,1422,1768,1221,1904,1298,41,1396,1621,1862,2057,1708,2161,396,709,286,330,2178,2351,2530,1964,1871,2303,2651,2444,2264,2328,2200,27,1565,2677,145,2218,2560,2517,1778,2348,1841,1862,321,1185,2484,2039,1779,1978,14,2230,1822,2315,1605,1882,NA,1182,2594,1730,1803,1761,2083,1915,2215,2126,695,1753,2349,1,1786,1983,1895,2245,1565,2167
"N50",2061,1399,1713,1232,1971,1299,40,1476,1687,2042,2004,1647,1889,404,749,290,308,2272,2258,2511,1824,1838,2455,2406,2227,2151,2450,2046,27,1590,2539,142,2192,2249,2387,1782,2207,1730,1702,298,1209,2120,2049,1627,1785,17,2158,1623,2169,1657,1845,1182,NA,2689,1792,1885,1801,1866,2015,2071,2127,694,1575,2294,0,1645,2082,1889,2184,1506,2088
"N51",4639,3101,3871,2610,4558,2798,85,3199,3811,4497,4419,3632,4285,790,1620,562,681,5029,5019,5948,4077,4161,5759,5540,5167,4737,5622,4532,68,3442,5863,297,5063,5241,5278,3962,5135,3795,3749,614,2699,4843,4706,3613,3964,18,4812,3558,4989,3640,4135,2594,2689,NA,4124,4174,4022,4157,4668,4926,4927,1464,3400,5300,1,3585,4796,4372,5112,3400,4873
"N52",3070,2043,2589,1803,2977,1874,65,2085,2553,2966,2969,2464,2823,561,1132,382,464,3383,3401,3827,2711,2812,3730,3671,3405,3192,3719,3035,38,2352,3861,209,3337,3442,3518,2661,3399,2516,2484,433,1861,3265,3078,2433,2669,12,3226,2433,3337,2458,2755,1730,1792,4124,NA,2795,2733,2779,3090,3253,3185,1012,2330,3520,0,2375,3254,2946,3378,2264,3268
"N53",3290,2199,2831,1867,3165,2043,65,2237,2453,3045,2951,2522,2966,581,1128,401,472,3458,3560,3917,2911,3106,3965,3756,3617,3364,3743,3092,47,2504,4086,231,3462,3536,3651,2683,3412,2594,2542,441,1888,3294,3145,2409,2715,12,3279,2481,3510,2461,2757,1803,1885,4174,2795,NA,2694,2882,3143,3525,3490,1107,2414,3651,0,2528,3278,3150,3652,2451,3421
"N54",3014,2071,2492,1758,2854,1899,68,2130,2457,2971,3053,2453,2845,572,1098,417,465,3393,3324,3754,2715,2751,3688,3585,3321,3163,3691,2995,48,2353,3787,216,3278,3376,3487,2610,3322,2476,2423,400,1861,3212,3060,2467,2582,15,3185,2398,3230,2438,2719,1761,1801,4022,2733,2694,NA,2746,3048,3176,3133,1047,2330,3471,0,2402,3071,2865,3314,2204,3140
"N56",3832,2609,3242,2244,3687,2365,58,2190,2665,3047,3509,2815,3559,637,1252,422,490,3724,4140,4471,3504,3011,4107,4824,4307,3717,3848,4030,51,2848,4454,225,4224,4317,3992,3294,4035,2877,3099,480,1978,4059,3506,2965,3148,19,3911,3221,4451,2816,3049,2083,1866,4157,2779,2882,2746,NA,3075,4224,4135,1067,2786,4180,1,3297,3488,3697,4338,2909,4032
"N57",3472,2272,2843,1976,3336,2102,74,2420,2812,3328,3276,2731,3152,624,1270,443,505,3805,3949,4474,3063,3118,4348,4129,3816,3539,4282,3322,46,2646,4274,251,3743,3857,4003,2992,3840,2830,2795,478,2028,3657,3618,2682,2964,18,3543,2676,3752,2720,3132,1915,2015,4668,3090,3143,3048,3075,NA,3645,3594,1137,2667,3924,0,2645,3617,3307,3864,2499,3610
"N58",4986,3328,4244,2766,4702,2995,67,2606,2884,3548,3645,3327,3872,650,1488,442,611,4407,5169,5490,4095,3883,5341,5475,5178,4267,4490,4514,56,3522,5184,310,5664,4677,4433,4119,4652,3183,3305,585,2246,4365,4387,3138,3501,20,4392,3610,5698,3082,3289,2215,2071,4926,3253,3525,3176,4224,3645,NA,5613,1184,3033,5146,0,3619,4245,4862,5858,3800,5427
"N59",4961,3246,4195,2821,4751,3028,59,2551,2893,3519,3660,3339,3794,655,1584,450,631,4355,4932,5573,4127,3855,5430,5437,5103,4240,4572,4360,44,3517,5066,280,5644,4595,4311,4164,4596,3106,3278,561,2217,4270,4369,3146,3363,20,4317,3643,5631,3133,3258,2126,2127,4927,3185,3490,3133,4135,3594,5613,NA,1202,2978,5239,0,3650,4292,4930,5738,3887,5447
"N60",1115,817,977,714,1106,729,32,824,904,1106,1136,924,1071,247,411,164,187,1273,1273,1376,1068,1076,1334,1361,1300,1218,1373,1151,18,900,1444,117,1214,1263,1280,987,1243,952,984,164,726,1172,1134,894,1009,9,1205,902,1230,950,1029,695,694,1464,1012,1107,1047,1067,1137,1184,1202,NA,913,1251,0,923,1153,1088,1259,877,1166
"N61",2769,1884,2379,1641,2687,1740,54,1981,2220,2550,2846,2261,2939,525,962,361,418,2980,3201,3472,2601,2568,3141,3582,3255,3076,3186,3031,48,2144,3726,206,3018,3540,3466,2475,3197,2468,2514,419,1699,3379,2799,2429,2716,18,3037,2419,3185,2220,2526,1753,1575,3400,2330,2414,2330,2786,2667,3033,2978,913,NA,3189,0,2454,2732,2671,3052,2055,2911
"N62",4700,3118,3914,2694,4451,2803,72,2787,3210,3831,3970,3382,3953,734,1554,504,634,4631,4968,5548,4012,3863,5356,5518,4980,4386,4809,4479,55,3481,5263,306,5185,4854,4750,4075,4802,3411,3509,572,2398,4529,4471,3315,3669,20,4501,3595,5235,3264,3595,2349,2294,5300,3520,3651,3471,4180,3924,5146,5239,1251,3189,NA,0,3585,4371,4523,5338,3595,4980
"N63",0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,2
"N64",3276,2235,2814,1946,3187,2000,57,1983,2246,2634,2943,2512,3106,571,1102,355,463,3282,3568,3820,3106,2676,3530,4226,3782,3209,3259,3438,37,2483,3793,213,3673,3758,3462,2873,3502,2562,2661,442,1725,3463,3058,2512,2707,16,3396,2832,3873,2390,2602,1786,1645,3585,2375,2528,2402,3297,2645,3619,3650,923,2454,3585,0,NA,3026,3202,3705,2524,3499
"N65",3993,2612,3291,2216,3890,2487,75,2492,2880,3543,3511,2940,3373,643,1346,455,574,4102,4247,4862,3382,3378,4693,4648,4334,3753,4466,3756,42,2944,4562,248,4400,4170,4157,3489,4269,2985,2916,496,2100,3736,3941,2854,3083,21,3989,3022,4439,2914,3270,1983,2082,4796,3254,3278,3071,3488,3617,4245,4292,1153,2732,4371,0,3026,NA,3860,4581,3018,4298
"W01",4689,3103,3859,2627,4537,2808,65,2325,2581,3194,3309,3036,3323,575,1394,408,561,3917,4378,4932,3606,3459,4743,4784,4481,3851,4042,3979,48,3249,4590,262,4934,4098,3912,3685,4079,2832,2801,532,2053,3796,3895,2809,2945,18,3909,3162,4986,2833,2879,1895,1889,4372,2946,3150,2865,3697,3307,4862,4930,1088,2671,4523,0,3202,3860,NA,5492,3687,5173
